Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Login API,563,31,2900.0,9969.479525933184,1340.6701999774668,98306.25879997388,430.2220248667851,4.74483414379531,0.26126084983597625,2900,3600,5600,9500,30000,55000,71000,74000,98000,98000,98000
,Aggregated,563,31,2900.0,9969.479525933184,1340.6701999774668,98306.25879997388,430.2220248667851,4.74483414379531,0.26126084983597625,2900,3600,5600,9500,30000,55000,71000,74000,98000,98000,98000
