Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Booking API,18,0,61000.0,64734.315555555644,13781.34119999595,114080.78719998593,1498.0,0.1537066511886962,0.0,68000,84000,93000,98000,110000,114000,114000,114000,114000,114000,114000
,Aggregated,18,0,61000.0,64734.315555555644,13781.34119999595,114080.78719998593,1498.0,0.1537066511886962,0.0,68000,84000,93000,98000,110000,114000,114000,114000,114000,114000,114000
